,accl_x,accl_y,accl_z,labelOnTable,labelWalkingDownStairs,labelWalking,labelRunning,labelElevator,labelSitting,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,gps_Latitude,gps_Longitude,mag_x,mag_y,mag_z,press_x
1970-01-01 00:08:53.005039999,1.50469222252,0.2663718970640001,-0.563338718624,0,1,0,0,0,0,6.3773741818400005,-7.640627234000001,-0.38825661617600005,0.0893279531684,0.12176582987720003,-0.529195692604,52.32158546,4.8749319,-32.3802967832,38.843679352,12.339114418399998,
1970-01-01 00:08:53.255039999,-2.051634097116,1.7386956527775999,-1.114705005944,0,1,0,0,0,0,4.23171884525,-5.7418098449583335,-0.48925758362291666,0.24521578847999997,0.08752218170294401,-0.15921618141320001,,,-36.9366088872,34.0795144656,10.1288634868,1010.651169
1970-01-01 00:08:53.505039999,1.6178316237460002,-3.652897541904,0.9390304402280001,0,1,0,0,0,0,7.66149384156,-11.3564940486,1.5641692930999997,-0.21070837588240005,-0.04244426246840001,0.4042055821276,,,-36.72651886,34.1940928652,9.652792243839999,
1970-01-01 00:08:53.755039999,-0.504628907944,3.9794865917199997,0.03474864610159998,0,1,0,0,0,0,4.44469520872,-4.482871820040001,0.4411266723264,-0.11517516728252,-0.09673309270364003,0.3707095289231999,,,-30.5243811028,39.1066040044,11.066617165,
1970-01-01 00:08:54.005039999,2.498424129125,-3.2022467286516663,-0.0038935390041666316,0,1,0,0,0,0,7.62416147464,-11.30015720228,0.20467836913599988,0.2633102843625,0.470794104625,-0.34515895834375,52.32159142,4.874941935,-31.847509860416665,36.975677491249996,9.392597198416667,
1970-01-01 00:08:54.255039999,-1.72560523386,3.4760111055599996,-1.6091398077920003,0,1,0,0,0,0,3.60383977668,-4.67294057,-0.5850793212945999,0.09122221663279997,-0.2593709427236,0.10602457665372,,,-31.5004302224,37.028338624,6.9529195785199995,1010.680008
1970-01-01 00:08:54.505039999,1.2068915764396,-4.981830776511999,1.0077059880836,0,1,0,0,0,0,6.998660211239999,-12.92741729744,1.3822615722704001,-0.27014880778719996,-0.0831619241844,-0.14927075596240003,,,-31.154719314399998,35.865910492400005,9.21762187976,
1970-01-01 00:08:54.755039999,0.12433128773200003,3.77239145132,-0.8498959992663999,0,1,0,0,0,0,4.880401153625001,-4.721444206291666,-0.35917184830541665,-0.13919222755360003,0.05907364801,0.3518783356175201,,,-26.354560166000002,39.640872955199995,8.86479282404,
1970-01-01 00:08:55.005039999,1.3859192161320002,-2.7264559229520002,0.48640086799120014,0,1,0,0,0,0,5.9421811706000005,-11.40788518056,0.468064654556,-0.05031401674919999,-0.18688798720400004,0.432015328458,52.32157784,4.874948139,-25.3481429284,38.5010859672,10.17925113696,
1970-01-01 00:08:55.255039999,-0.4804552826250001,5.085188893779167,-0.10084763488987504,0,1,0,0,0,0,3.52667224732,-3.9214493042799994,-0.021255798329920025,-0.09586237397875001,0.21421263503258334,-0.2013170165825,,,-21.499348162916665,40.765974045,10.409616948541666,
